District,March 2025 Tercile,March 2025 Probability Range,March 2025 Level of Confidence,April 2025 Tercile,April 2025 Probability Range,April 2025 Level of Confidence,May 2025 Tercile,May 2025 Probability Range,May 2025 Level of Confidence,June 2025 Tercile,June 2025 Probability Range,June 2025 Level of Confidence,July 2025 Tercile,July 2025 Probability Range,July 2025 Level of Confidence
Daulo District,below normal,70-80,High Confidence,below normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,above normal,40-50,Limited Confidence
Goroka District,below normal,70-80,High Confidence,below normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,near normal,40-50,Limited Confidence
Henganofi District,below normal,70-80,High Confidence,below normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,near normal,40-50,Limited Confidence
Kainanatu District,below normal,70-80,High Confidence,near normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,near normal,40-50,Limited Confidence
Lufa District,below normal,40-50,Limited Confidence,near normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,above normal,40-50,Limited Confidence,near normal,40-50,Limited Confidence
Obura/Wonenara District,near normal,50-60,Some Confidence,near normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,near normal,40-50,Limited Confidence
Okapa District,near normal,40-50,Limited Confidence,near normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,near normal,40-50,Limited Confidence
Unggai/Benna District,below normal,60-70,Some Confidence,below normal,40-50,Limited Confidence,above normal,40-50,Limited Confidence,above normal,50-60,Some Confidence,near normal,40-50,Limited Confidence
