District,Latitude,Longitude,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range,March 2025 Probability,March 2025 Tercile,March 2025 Probability Range,April 2025 Probability,April 2025 Tercile,April 2025 Probability Range,May 2025 Probability,May 2025 Tercile,May 2025 Probability Range,June 2025 Probability,June 2025 Tercile,June 2025 Probability Range
Kainanatu District,-6.092307692307692,145.85555555555555,60.095081863630654,below normal,60-70,44.85114161786092,below normal,40-50,44.167815010143606,below normal,40-50,40.274462240884205,above normal,40-50,37.23326822523415,near normal,<40
Kainanatu District,-6.092307692307692,145.95,61.36121736797862,below normal,60-70,43.8518296408009,below normal,40-50,44.428650869467994,below normal,40-50,41.305652300854625,above normal,40-50,37.08867277190529,near normal,<40
Lufa District,-6.646153846153846,145.19444444444446,40.45786567567062,below normal,40-50,37.51557771271191,near normal,<40,43.91079652013769,below normal,40-50,44.85294113335681,above normal,40-50,39.790411919267115,near normal,<40
Lufa District,-6.553846153846154,145.1,39.615821772837805,below normal,<40,37.026491448648855,near normal,<40,45.17286265923287,below normal,40-50,43.939365080640094,above normal,40-50,41.543617883925926,near normal,40-50
Lufa District,-6.553846153846154,145.19444444444446,41.9124009688373,below normal,40-50,36.18411871200447,near normal,<40,45.60030098516109,below normal,40-50,43.81238394905289,above normal,40-50,41.7260761983648,near normal,40-50
Lufa District,-6.461538461538462,145.00555555555556,38.012948343106856,below normal,<40,37.26019337381666,near normal,<40,46.01647258746647,below normal,40-50,43.13991347990475,above normal,40-50,43.372906723455806,near normal,40-50
Lufa District,-6.461538461538462,145.1,40.68994230255502,below normal,40-50,37.76251958276687,below normal,<40,46.65313901882538,below normal,40-50,42.955870122326886,above normal,40-50,43.51732360045912,near normal,40-50
Lufa District,-6.461538461538462,145.19444444444446,43.36693626200398,below normal,40-50,40.000979648139264,below normal,40-50,47.28980545018448,below normal,40-50,42.77182676474896,above normal,40-50,43.66174047746249,near normal,40-50
Lufa District,-6.461538461538462,145.2888888888889,46.04393022145214,below normal,40-50,42.239439713510976,below normal,40-50,47.92647188154339,below normal,40-50,42.587783407171095,above normal,40-50,43.8061573544658,near normal,40-50
Lufa District,-6.461538461538462,145.38333333333333,48.720924180900305,below normal,40-50,44.47789977888269,below normal,40-50,48.5631383129023,below normal,40-50,42.403740049593225,above normal,40-50,43.950574231469126,near normal,40-50
Lufa District,-6.369230769230769,145.19444444444446,45.04307745741898,below normal,40-50,43.173203237110826,below normal,40-50,48.33834136749431,below normal,40-50,41.454863352759666,above normal,40-50,44.67526226775464,near normal,40-50
Lufa District,-6.369230769230769,145.2888888888889,47.869596047150495,below normal,40-50,45.859883837948374,below normal,40-50,49.04651198420184,below normal,40-50,41.27046761056928,above normal,40-50,44.79378972806927,near normal,40-50
Lufa District,-6.369230769230769,145.38333333333333,50.69611463688201,below normal,50-60,48.54656443878592,below normal,40-50,49.754682600909376,below normal,40-50,41.08607186837889,above normal,40-50,44.91231718838391,near normal,40-50
Lufa District,-6.369230769230769,145.4777777777778,52.993020641809295,below normal,50-60,48.553027625862505,below normal,40-50,49.3242598613032,below normal,40-50,41.13436258357076,above normal,40-50,44.602161264761044,near normal,40-50
Lufa District,-6.276923076923077,145.38333333333333,51.783701958572344,below normal,50-60,48.64727792038937,below normal,40-50,47.55945864260305,below normal,40-50,39.1660605863866,above normal,<40,42.55595202572498,near normal,40-50
Lufa District,-6.276923076923077,145.4777777777778,53.672193709952346,below normal,50-60,48.65148159260877,below normal,40-50,47.25766376515079,below normal,40-50,39.47280905604791,above normal,<40,42.33865752269058,near normal,40-50
Obura/Wonenara District,-7.107692307692307,145.66666666666666,41.408355698479475,below normal,40-50,38.91378923963904,near normal,<40,42.7535329503509,near normal,40-50,45.63406161828254,above normal,40-50,39.79657129204796,above normal,<40
