District,Latitude,Longitude,October 2024 Probability,October 2024 Tercile,October 2024 Probability Range,November 2024 Probability,November 2024 Tercile,November 2024 Probability Range,December 2024 Probability,December 2024 Tercile,December 2024 Probability Range,January 2025 Probability,January 2025 Tercile,January 2025 Probability Range,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range
Bulolo District,-7.661538461538461,147.17777777777778,37.76048692256255,below normal,<40,45.42516871691821,above normal,40-50,43.94449229080778,above normal,40-50,53.830795582539295,above normal,50-60,35.726860992130696,below normal,<40
Bulolo District,-7.569230769230769,146.61111111111111,41.780569633435405,above normal,40-50,48.16030235488955,above normal,40-50,44.389897119592995,above normal,40-50,47.943421518769036,above normal,40-50,35.107331250159554,above normal,<40
Bulolo District,-7.569230769230769,146.70555555555555,39.33336477260493,above normal,<40,47.31580109399838,above normal,40-50,44.37563133958811,above normal,40-50,49.61815813176946,above normal,40-50,35.288379120644485,below normal,<40
Bulolo District,-7.569230769230769,146.8,36.886159911773724,above normal,<40,46.47129983310696,above normal,40-50,44.36136555958322,above normal,40-50,51.29289474477039,above normal,50-60,35.58866594098755,below normal,<40
Bulolo District,-7.569230769230769,146.89444444444445,34.6782727944213,below normal,<40,45.62679857221579,above normal,40-50,44.347099779578336,above normal,40-50,52.96763135777083,above normal,50-60,35.88895276133053,below normal,<40
Bulolo District,-7.569230769230769,146.98888888888888,37.22498625027727,below normal,<40,44.78229731132462,above normal,40-50,44.33283399957345,above normal,40-50,54.642367970771254,above normal,50-60,36.18923958167351,below normal,<40
Bulolo District,-7.569230769230769,147.08333333333334,39.77141996967259,below normal,<40,43.93788854660245,above normal,40-50,44.31854661331818,above normal,40-50,56.316953470998406,above normal,50-60,36.48945704917878,below normal,<40
Bulolo District,-7.476923076923077,146.61111111111111,41.97917155206363,above normal,40-50,48.38967407617078,above normal,40-50,44.275214561532394,above normal,40-50,48.26650153374732,above normal,40-50,35.729711897773576,above normal,<40
Bulolo District,-7.476923076923077,146.70555555555555,39.55098779935192,above normal,<40,47.58321504353934,above normal,40-50,44.384585903802254,above normal,40-50,50.06963059419315,above normal,50-60,35.948806808959816,above normal,<40
Bulolo District,-7.476923076923077,146.8,37.12280404663948,above normal,<40,46.77675601090766,above normal,40-50,44.49395724607215,above normal,40-50,51.872759654639516,above normal,50-60,36.16790172014612,above normal,<40
Bulolo District,-7.476923076923077,146.89444444444445,34.69462029392777,above normal,<40,45.97029697827623,above normal,40-50,44.603328588342016,above normal,40-50,53.675888715085335,above normal,50-60,36.38699663133236,above normal,<40
Bulolo District,-7.476923076923077,146.98888888888888,36.442315829960336,below normal,<40,45.163837945644794,above normal,40-50,44.712699930611876,above normal,40-50,55.47901777553116,above normal,50-60,36.6060915425186,above normal,<40
Bulolo District,-7.384615384615384,146.51666666666668,44.4207880266822,above normal,40-50,50.263553382730755,above normal,50-60,43.05144510021891,above normal,40-50,45.9733004341853,above normal,40-50,35.09898773115094,below normal,<40
Bulolo District,-7.384615384615384,146.61111111111111,42.35400530521267,above normal,40-50,49.89457963063324,above normal,40-50,43.59830181156822,above normal,40-50,47.66230291429511,above normal,40-50,35.48356772340783,above normal,<40
Bulolo District,-7.384615384615384,146.70555555555555,40.28722258374312,above normal,40-50,49.52560587853572,above normal,40-50,44.145158522917534,above normal,40-50,49.35130539440493,above normal,40-50,36.12112688678908,above normal,<40
Bulolo District,-7.384615384615384,146.8,38.22043986227296,above normal,<40,49.15663212643809,above normal,40-50,44.69201523426701,above normal,40-50,51.04030787451526,above normal,50-60,36.75868605017052,above normal,<40
Bulolo District,-7.384615384615384,146.89444444444445,36.15365714080342,above normal,<40,48.78765837434057,above normal,40-50,45.238871945616324,above normal,40-50,52.72931035462507,above normal,50-60,37.396245213551765,above normal,<40
Bulolo District,-7.292307692307692,146.42222222222222,46.139602438816944,above normal,40-50,51.26246212822287,above normal,50-60,40.95270490074624,above normal,40-50,43.90835249529482,above normal,40-50,35.556463217006076,below normal,<40
Bulolo District,-7.292307692307692,146.51666666666668,44.434220748589055,above normal,40-50,51.33097365665929,above normal,50-60,41.9370469811753,above normal,40-50,45.483228395069105,above normal,40-50,35.18625618038422,below normal,<40
Bulolo District,-7.292307692307692,146.61111111111111,42.728839058361686,above normal,40-50,51.399485185095685,above normal,50-60,42.92138906160406,above normal,40-50,47.05810429484291,above normal,40-50,35.23742354904209,above normal,<40
Bulolo District,-7.292307692307692,146.70555555555555,41.023457368134316,above normal,40-50,51.46799671353208,above normal,50-60,43.90573114203282,above normal,40-50,48.63298019461672,above normal,40-50,36.29344696461834,above normal,<40
Bulolo District,-7.292307692307692,146.8,39.31807567790643,above normal,<40,51.5365082419685,above normal,50-60,44.89007322246187,above normal,40-50,50.207856094391005,above normal,50-60,37.34947038019491,above normal,<40
Bulolo District,-7.292307692307692,146.89444444444445,37.61269398767906,above normal,<40,51.605019770404894,above normal,50-60,45.87441530289063,above normal,40-50,51.78273199416482,above normal,50-60,38.40549379577116,above normal,<40
Bulolo District,-7.199999999999999,146.32777777777778,47.13561478846671,above normal,40-50,51.38640031264705,above normal,50-60,37.97899396311483,above normal,<40,42.07165771707687,above normal,40-50,36.546529576547165,below normal,<40
Bulolo District,-7.199999999999999,146.42222222222222,45.79163412948151,above normal,40-50,51.892397121617364,above normal,50-60,39.40082141262304,above normal,<40,43.53240703651467,above normal,40-50,35.91002710308243,below normal,<40
Bulolo District,-7.199999999999999,146.51666666666668,44.44765347049591,above normal,40-50,52.39839393058783,above normal,50-60,40.82264886213168,above normal,40-50,44.99315635595291,above normal,40-50,35.2735246296175,below normal,<40
Bulolo District,-7.199999999999999,146.61111111111111,43.10367281151071,above normal,40-50,52.904390739558146,above normal,50-60,42.244476311639886,above normal,40-50,46.453905675390715,above normal,40-50,34.991279374676346,above normal,<40
Bulolo District,-7.199999999999999,146.70555555555555,41.75969215252551,above normal,40-50,53.41038754852846,above normal,50-60,43.66630376114809,above normal,40-50,47.91465499482852,above normal,40-50,36.4657670424476,above normal,<40
Bulolo District,-7.199999999999999,146.8,40.41571149353991,above normal,40-50,53.91638435749893,above normal,50-60,45.088131210656734,above normal,40-50,49.37540431426676,above normal,40-50,37.9402547102193,above normal,<40
Bulolo District,-7.199999999999999,146.89444444444445,39.071730834554714,above normal,<40,54.42238116646924,above normal,50-60,46.50995866016494,above normal,40-50,50.836153633704555,above normal,50-60,39.41474237799056,above normal,<40
Bulolo District,-7.107692307692307,146.32777777777778,46.426245447889116,above normal,40-50,51.57885002550763,above normal,50-60,35.98962510591219,above normal,<40,41.80983883863272,above normal,40-50,37.1663888994665,below normal,<40
Bulolo District,-7.107692307692307,146.42222222222222,45.44366582014608,above normal,40-50,52.52233211501186,above normal,50-60,37.84893792449984,above normal,<40,43.15646157773452,above normal,40-50,36.26359098915877,below normal,<40
Bulolo District,-7.107692307692307,146.51666666666668,44.46108619240276,above normal,40-50,53.46581420451636,above normal,50-60,39.70825074308806,above normal,<40,44.50308431683672,above normal,40-50,35.360793078850776,below normal,<40
Bulolo District,-7.107692307692307,146.61111111111111,43.47850656465973,above normal,40-50,54.40929629402059,above normal,50-60,41.56756356167572,above normal,40-50,45.84970705593852,above normal,40-50,34.74513520031061,above normal,<40
Bulolo District,-7.107692307692307,146.70555555555555,42.495926936916696,above normal,40-50,55.35277838352482,above normal,50-60,43.42687638026337,above normal,40-50,47.19632979504031,above normal,40-50,36.638087120276865,above normal,<40
Bulolo District,-7.107692307692307,146.8,41.513347309173376,above normal,40-50,56.296260473029335,above normal,50-60,45.28618919885159,above normal,40-50,48.54295253414251,above normal,40-50,38.53103904024369,above normal,<40
Bulolo District,-7.107692307692307,146.98888888888888,39.54818805368731,above normal,<40,58.183224652037794,above normal,50-60,49.0048148360269,above normal,40-50,51.2361980123461,above normal,50-60,42.31694288017621,above normal,40-50
Bulolo District,-7.015384615384615,146.32777777777778,45.71687610731152,above normal,40-50,51.7712997383682,above normal,50-60,34.00025624870955,above normal,<40,41.548019960188576,above normal,40-50,37.78624822238583,below normal,<40
Bulolo District,-7.015384615384615,146.42222222222222,45.09569751081066,above normal,40-50,53.15226710840634,above normal,50-60,36.297054436376655,above normal,<40,42.78051611895437,above normal,40-50,36.617154875235116,below normal,<40
Bulolo District,-7.015384615384615,146.51666666666668,44.47451891430961,above normal,40-50,54.5332344784449,above normal,50-60,38.593852624044445,above normal,<40,44.01301227772053,above normal,40-50,35.448061528084054,below normal,<40
